Date,AAA_Corporate,BBB_Corporate,5yr,10yr,30yr
2019-07-01,137.737024,113.6948617,128.5818262,148.6123485,175.9691408
2019-08-01,146.843165,122.7193031,133.4758766,159.9517583,206.0947086
2019-09-01,149.6616456,126.4865336,133.690969,158.5852514,201.1358563
2019-10-01,154.8290778,131.1787215,136.030007,160.8956321,202.2074561
2019-11-01,157.883182,135.9210092,137.2473687,161.8253199,205.0979641
2019-12-01,164.3531206,142.9175719,138.9025263,161.7921352,199.0437911
2020-01-01,171.6796449,151.4090472,143.8992156,173.0184607,226.1913831
2020-02-01,182.4499235,161.8583548,148.5076197,183.9351662,254.9885042
2020-03-01,178.8831738,148.5477659,152.9893473,195.331495,285.4461319
2020-04-01,207.0023149,159.3108863,153.7112935,198.3480899,296.9361505
2020-05-01,209.103317,170.9696194,154.4045651,199.034852,288.0895666
2020-06-01,216.8724517,187.7666205,149.3480452,200.2236023,291.9680031
2020-07-01,235.6717371,206.3640605,149.2887344,203.8160463,315.5217272
2020-08-01,235.5857938,214.6921437,149.1420551,201.9810903,295.950166
2020-09-01,238.1206585,218.2175847,149.1374405,203.6634854,300.3354041
2020-10-01,241.7804195,222.6227546,149.5908915,201.9920455,288.5210601
2020-11-01,249.7927026,236.0696562,149.8137728,203.9802957,298.9063892
2020-12-01,257.4441121,249.456009,150.1881239,204.6201072,297.3937749
2021-01-01,254.2806492,253.8688284,151.3043928,204.071537,285.0233387
2021-02-01,249.1750659,254.4196465,155.188493,201.7058938,266.1758026
2021-03-01,241.3303363,249.6761196,158.2488185,201.437175,255.4348534
2021-04-01,254.6265954,264.8696367,158.6565576,199.8663451,270.0403919
2021-05-01,259.3913416,273.6865862,158.9881103,202.3477926,278.9543704
2021-06-01,274.7088858,291.5584629,161.6546114,205.2568678,300.2032755
2021-07-01,292.8675999,311.3281751,159.9559423,208.0219032,320.1494899
2021-08-01,301.3873509,321.6947429,162.4557491,209.5655281,323.672582
2021-09-01,310.0824279,332.6113671,168.6851227,211.5387411,316.1878669
2021-10-01,310.3790676,336.9264935,175.0785161,214.1304756,335.4266289
2021-11-01,321.7238076,352.0725666,176.1337135,216.3105172,355.9052535
2021-12-01,328.6160707,362.7657092,181.4611564,219.3356811,351.4357833
2022-01-01,323.3041075,359.1912705,195.1995501,224.6357541,341.1524195
2022-02-01,317.5807363,352.5031709,202.2457378,228.8248338,341.1688972
2022-03-01,319.6802744,350.6608303,235.2224571,239.8248096,326.990052
2022-04-01,316.1314781,348.7755692,265.7469214,255.392557,298.6803836
2022-05-01,312.621847,344.9187268,267.7557312,261.4224162,300.0879488
2022-06-01,321.0867114,356.1233633,287.1832463,271.7864568,305.1120124
2022-07-01,342.2003057,377.2507083,275.593305,270.090539,324.704282
2022-08-01,355.6603323,399.7078028,325.7234506,292.9679768,314.8092915
2022-09-01,348.4084403,395.9054393,405.6238228,328.4387027,292.8935847
2022-10-01,344.8701723,394.9490893,444.9694141,353.6646799,279.2376348
2022-11-01,370.061697,427.6399224,415.3361893,348.5006986,312.9968327
2022-12-01,390.7410076,451.5438893,451.6838578,371.4007974,315.5580588
2023-01-01,398.432188,463.4687329,423.6469392,364.2210282,348.5067023
2023-02-01,399.5066391,468.003809,513.3124717,403.3676886,343.0888666
2023-03-01,405.9105553,472.6617638,451.2993851,387.8816984,373.309711
2023-04-01,418.2776991,489.4259479,456.683277,398.1909944,387.8941888
2023-05-01,421.2267896,492.3629568,505.6671829,427.6925929,388.9534753
2023-06-01,431.3944419,504.8195654,597.396213,460.7469289,404.025993
2023-07-01,441.4218344,518.140141,631.9580552,493.4803295,407.3128535
2023-08-01,447.4540797,526.3043061,673.5916197,529.2357108,410.09174
2023-09-01,458.0257182,540.2930924,800.1159389,618.7788842,392.4501322
2023-10-01,469.4394582,554.0816168,904.4847358,698.2119287,391.1400554
2023-11-01,486.9244184,576.9817502,778.8768968,638.6966356,445.4498006
2023-12-01,503.0308977,599.5124842,679.305337,584.3161121,505.7422905
2024-01-01,518.6556181,618.9402072,717.365924,624.333052,508.899078
2024-02-01,537.0322029,640.6550414,870.7659589,705.0213599,516.606164
2024-03-01,555.1641314,663.4567388,892.0494692,724.9393727,541.4730964
2024-04-01,581.4532334,694.1636493,1152.763001,876.2831188,527.5817671
2024-05-01,602.9643739,720.6895654,1127.739544,884.3316762,558.8634414
2024-06-01,621.7456459,744.9364613,1179.243409,924.7544772,585.2306186
