DATE,PNRGINDEXM,USEPUINDXD,GEPUCURRENT,CPIAUCSL,CORESTICKM159SFRBATL,AMBOR30,AMERIBOR,MORTGAGE30US,FEDFUNDS,SP500,DJIA,APU0000704111,DEXUSEU,BOGMBASE,COMPOUT,IHLIDXUSTPSOFTDEVE,BBKMGDP,WEI,ACTLISCOUUS
2019-07-01,125.7324603,94.79645161,262.0413385,255.802,2.475923,2.416335458,2.411212934,3.765,2.4,2996.113636,27089.18682,5.701,1.121145455,3260300,1150.462788,99.46758621,4.98239143,1.8075,1239534
2019-08-01,117.138292,155.2332258,317.8190998,256.036,2.630398,2.277381715,2.161065425,3.616,2.13,2897.498182,26058.225,5.576,1.112868182,3271400,1131.343387,99.46758621,4.913488391,1.648,1235257
2019-09-01,122.4373018,118.307,273.8658486,256.43,2.622934,2.139569152,2.066011074,3.605,2.04,2982.156,26900.214,5.571,1.10112,3202700,1107.605743,99.46758621,1.852210317,1.5575,1224868
2019-10-01,119.7971672,98.00290323,258.4559632,257.155,2.747596,1.934088113,1.859970766,3.688,1.83,2977.675217,26736.79609,5.653,1.105818182,3252800,1092.973399,99.46758621,0.809073136,1.5,1208311
2019-11-01,127.6314617,81.042,253.466848,257.879,2.772021,1.72511728,1.607883123,3.695,1.55,3104.9045,27797.046,5.505,1.105057895,3315600,1127.538667,99.46758621,3.450207098,1.59,1143332
2019-12-01,131.10422,121.3074194,266.1682627,258.63,2.752609,1.601033941,1.596007726,3.72,1.55,3176.749524,28167.00571,5.474,1.111366667,3426500,1133.707515,99.46758621,5.066982852,1.5525,1033887
2020-01-01,126.1420732,110.0745161,228.0107179,258.906,2.790484,1.596375075,1.601410756,3.624,1.55,3278.202857,28879.99429,5.505,1.109766667,3442600,1121.613584,99.46758621,2.026725486,1.3975,951675
2020-02-01,109.2893591,113.26,230.5622629,259.246,2.800101,1.620600148,1.630877607,3.465,1.58,3277.314211,28519.73158,5.497,1.091073684,3454500,1121.0578,99.46758621,-12.35190322,1.574,928343
2020-03-01,72.9941675,380.3896774,357.0066934,258.15,2.606553,1.273630131,0.6991796265,3.45,0.65,2652.393636,22637.42091,5.257,1.104590909,3883100,1127.741147,98.14612903,-44.35495055,-0.6125,937319
2020-04-01,55.89051244,555.3246667,358.9889587,256.126,2.179323,0.272796295,0.1550536147,3.306,0.05,2761.975238,23293.9,5.346,1.087109091,4844900,1084.958329,76.163,-69.39325587,-7.27,941733
2020-05-01,68.01149929,484.1822581,431.6423745,255.848,2.01414,0.1466525816,0.1332860261,3.2325,0.05,2919.615,24271.0215,5.348,1.09073,5149400,1059.746071,65.75354839,-9.792186144,-7.252,928370
