Date,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA
2023-06-23,185.69,129.33,122.88,288.14,332.42,42.2,256.6
2023-06-26,184.29,127.33,118.95,277.9,326.05,40.62,241.05
2023-06-27,187.07,129.18,118.87,286.46,331.97,41.86,250.21
2023-06-28,188.25,129.04,120.94,284.7,333.24,41.1,256.24
2023-06-29,188.59,127.9,119.87,280.95,332.45,40.81,257.5
2023-06-30,192.95,130.36,120.83,286.39,337.9,42.29,261.77
2023-07-03,191.44,130.22,120.42,285.43,335.37,42.4,279.82
2023-07-05,190.32,130.38,122.49,293.77,335.53,42.3,282.48
2023-07-06,190.8,128.36,120.79,291.39,338.62,42.09,276.54
2023-07-07,189.67,129.78,120.0,289.93,334.6,42.49,274.43
2023-07-10,187.61,127.13,116.74,293.5,329.25,42.17,269.61
2023-07-11,187.09,128.78,117.58,297.68,329.89,42.39,269.79
2023-07-12,188.77,130.8,119.48,308.71,334.58,43.89,271.99
2023-07-13,189.53,134.3,124.69,312.77,340.0,45.96,277.9
2023-07-14,189.68,134.68,125.56,308.24,342.56,45.46,281.38
2023-07-17,192.97,133.56,124.92,309.98,343.05,46.45,290.38
2023-07-18,192.71,132.83,123.94,311.41,356.7,47.48,293.34
2023-07-19,194.07,135.36,122.64,315.36,352.32,47.06,291.26
2023-07-20,192.11,129.96,119.39,301.9,344.18,45.51,262.9
2023-07-21,190.93,130.0,120.17,293.66,341.1,44.3,260.02
2023-07-24,191.73,128.8,121.74,291.01,342.43,44.6,269.06
2023-07-25,192.6,129.13,122.65,293.87,348.26,45.67,265.28
2023-07-26,193.47,128.15,129.51,297.96,335.15,45.44,264.35
2023-07-27,192.2,128.25,129.72,311.07,328.15,45.89,255.71
2023-07-28,194.8,132.21,132.86,324.81,335.74,46.74,266.44
2023-07-31,195.41,133.68,132.96,317.95,333.31,46.72,267.43
2023-08-01,194.58,131.69,131.74,322.05,333.73,46.49,261.07
2023-08-02,191.56,128.21,128.49,313.67,324.96,44.26,254.11
2023-08-03,190.16,128.91,128.62,312.55,324.12,44.5,259.32
2023-08-04,181.03,139.57,128.39,310.09,325.24,44.67,253.86
2023-08-07,177.91,142.22,131.79,315.91,327.55,45.4,251.45
2023-08-08,178.85,139.94,131.69,312.0,323.52,44.65,249.7
2023-08-09,177.25,137.85,130.0,304.58,319.73,42.54,242.19
2023-08-10,177.03,138.56,130.06,305.11,320.42,42.38,245.34
2023-08-11,177.09,138.41,130.02,301.02,318.52,40.84,242.65
2023-08-14,178.75,140.57,131.68,305.56,321.52,43.74,239.76
2023-08-15,176.75,137.67,130.12,301.33,319.36,43.93,232.96
2023-08-16,175.87,135.07,128.96,293.69,318.59,43.47,225.6
2023-08-17,173.31,133.98,130.31,284.51,315.09,43.33,219.22
2023-08-18,173.8,133.22,127.96,282.67,314.69,43.29,215.49
2023-08-21,175.15,134.68,128.78,289.31,320.06,46.95,231.28
2023-08-22,176.53,134.25,129.54,287.01,320.63,45.65,233.19
2023-08-23,180.41,135.52,133.06,293.64,325.15,47.1,236.86
2023-08-24,175.69,131.84,130.27,286.16,318.16,47.15,230.04
2023-08-25,177.91,133.26,130.54,284.91,321.15,46.0,238.59
2023-08-28,179.48,133.14,131.64,289.66,321.87,46.82,238.82
2023-08-29,183.39,134.91,135.34,297.38,326.55,48.77,257.18
2023-08-30,186.91,135.07,136.77,294.49,326.93,49.25,256.9
2023-08-31,187.13,138.01,137.19,295.28,325.9,49.34,258.08
2023-09-01,188.71,138.12,136.64,295.77,326.8,48.49,245.01
2023-09-05,188.95,137.27,136.55,299.53,331.66,48.53,256.49
2023-09-06,182.19,135.36,135.22,298.56,331.0,47.05,251.92
2023-09-07,176.86,137.85,136.05,298.06,328.04,46.23,251.49
2023-09-08,177.48,138.23,137.04,297.28,332.38,45.56,248.5
2023-09-11,178.65,143.1,137.58,306.93,336.03,45.17,273.58
2023-09-12,175.61,141.23,135.92,301.04,329.89,44.86,267.48
2023-09-13,173.52,144.85,137.34,304.43,334.16,45.48,271.3
2023-09-14,175.05,144.72,138.83,311.08,336.78,45.57,276.04
2023-09-15,174.32,140.39,138.14,299.69,328.35,43.89,274.39
2023-09-18,177.27,139.98,138.8,301.93,327.2,43.96,265.28
2023-09-19,178.36,137.63,138.67,304.44,326.79,43.51,266.5
2023-09-20,174.8,135.29,134.44,299.06,318.95,42.23,262.59
2023-09-21,173.24,129.33,131.21,295.12,317.72,41.01,255.7
2023-09-22,174.1,129.12,131.1,298.47,315.22,41.6,244.88
2023-09-25,175.39,131.27,132.02,300.21,315.74,42.21,246.99
2023-09-26,171.28,125.98,129.3,298.35,310.37,41.9,244.12
2023-09-27,169.76,125.98,131.31,297.13,311.02,42.46,240.5
2023-09-28,170.02,125.98,132.98,303.34,311.86,43.08,246.38
2023-09-29,170.54,127.12,131.7,299.59,313.96,43.49,250.22
2023-10-02,173.07,129.46,135.02,306.19,319.98,44.77,251.6
2023-10-03,171.72,124.72,133.15,300.32,311.62,43.51,246.53
2023-10-04,172.98,127.0,136.12,304.95,317.15,44.03,261.16
2023-10-05,174.22,125.96,135.84,304.16,317.55,44.68,260.05
2023-10-06,176.79,127.96,138.57,314.78,325.41,45.75,260.53
2023-10-09,178.28,128.26,139.34,317.71,327.95,45.26,259.67
2023-10-10,177.69,129.48,139.04,321.18,326.53,45.79,263.62
2023-10-11,179.09,131.83,141.54,327.15,330.54,46.8,262.99
2023-10-12,180.0,132.33,140.13,323.5,329.29,46.93,258.87
2023-10-13,178.15,129.79,138.42,314.04,325.87,45.45,251.12
2023-10-16,178.02,132.55,140.33,320.49,330.76,46.09,253.92
2023-10-17,176.45,131.47,140.83,323.34,330.18,43.93,254.85
2023-10-18,175.15,128.13,139.12,316.32,328.24,42.19,242.68
2023-10-19,174.77,128.4,138.82,312.17,329.44,42.09,220.11
2023-10-20,172.2,125.17,136.58,308.02,324.82,41.38,211.99
2023-10-23,172.32,126.56,137.74,313.37,327.46,42.97,212.08
2023-10-24,172.76,128.56,139.96,311.91,328.66,43.65,216.52
2023-10-25,170.43,121.39,126.53,298.92,338.74,41.77,212.42
2023-10-26,166.23,119.57,123.3,287.76,326.03,40.32,205.76
2023-10-27,167.56,127.74,123.26,296.12,327.94,40.49,207.3
2023-10-30,169.62,132.71,125.61,302.04,335.4,41.15,197.36
2023-10-31,170.1,133.09,125.16,300.65,336.2,40.77,200.84
2023-11-01,173.28,137.0,127.42,311.21,344.11,42.32,205.66
2023-11-02,176.87,138.07,128.43,310.23,346.35,43.5,218.51
2023-11-03,175.95,138.6,130.22,313.95,350.8,45.0,219.96
2023-11-06,178.52,139.74,131.3,315.15,354.51,45.74,219.27
2023-11-07,181.1,142.71,132.25,318.17,358.49,45.95,222.18
2023-11-08,182.17,142.08,133.11,319.12,361.14,46.56,222.11
2023-11-09,181.69,140.6,131.54,319.89,358.65,46.94,209.98
2023-11-10,185.91,143.56,133.91,328.1,367.58,48.32,214.65
2023-11-13,184.31,142.59,133.49,328.51,364.6,48.61,223.71
2023-11-14,186.95,145.8,135.28,335.62,368.17,49.65,237.41
2023-11-15,187.52,143.2,136.22,332.03,368.32,48.88,242.84
2023-11-16,189.21,142.83,138.54,333.5,374.8,49.47,233.59
2023-11-17,189.19,145.18,136.78,334.35,368.5,49.29,234.3
2023-11-20,190.95,146.13,137.76,339.27,376.07,50.4,235.6
2023-11-21,190.14,143.9,138.46,336.29,371.71,49.93,241.2
2023-11-22,190.81,146.71,139.86,340.79,376.47,48.71,234.21
2023-11-24,189.47,146.74,138.06,337.54,376.05,47.77,235.45
2023-11-27,189.29,147.73,137.89,334.01,377.23,48.23,236.08
2023-11-28,189.9,147.03,138.46,338.29,381.31,47.81,246.72
2023-11-29,188.87,146.32,136.24,331.52,377.47,48.13,244.14
2023-11-30,189.45,146.09,133.77,326.48,377.53,46.76,240.08
2023-12-01,190.74,147.03,133.17,324.15,373.15,46.75,238.83
2023-12-04,188.93,144.84,130.48,319.36,367.8,45.5,235.58
2023-12-05,192.91,146.88,132.24,317.64,371.16,46.56,238.72
2023-12-06,191.81,144.52,131.28,316.8,367.46,45.5,239.37
2023-12-07,193.76,146.88,138.29,325.92,369.6,46.59,242.64
2023-12-08,195.2,147.42,136.48,332.07,372.87,47.5,243.84
2023-12-11,192.67,145.89,134.55,324.61,369.95,46.62,239.74
2023-12-12,194.2,147.48,133.49,333.53,373.02,47.65,237.01
