Date,AIRR,BLCN,BLOK,CALF,COWZ,DWAS,FTXL,IAK,IHF,ITB,KBWP,KIE,NFTY,OMFS,PAVE,PSCD,RWJ,RZV,SOXX,XHB,XMHQ,XMMO,XSD,XSMO,XTL
2019-07-01,26.37,22.59,15.69,22.82,26.51,53.28,33.73,65.19,34.07,37.74,64.45,31.47,31.34,25.17,15.71,56.5,19.86,59.7,66.45,39.85,46.28,56.93,90.17,36.82,67.8
2019-08-01,24.93,21.84,15.04,21.87,25.01,51.73,32.04,62.45,32.28,39.54,63.26,30.59,29.51,23.9,14.91,54.31,18.48,55.12,64.92,40.23,44.53,55.96,86.61,35.97,63.71
2019-09-01,26.64,22.14,14.98,23.61,26.06,48.53,33.57,65.27,31.04,42.01,66.22,32.01,31.45,25.15,15.67,56.94,20.07,60.76,67.04,42.17,45.16,55.92,88.33,35.67,63.96
2019-10-01,27.69,22.97,15.12,24.25,26.67,49.9,35.95,63.16,33.97,43.37,62.44,31.39,32.39,25.44,16.07,57.45,20.36,62.12,71.46,43.67,46.07,56.94,92.45,36.51,64.62
2019-11-01,28.51,23.89,15.69,25.29,27.98,52.8,37.11,65,37.51,44.22,63.9,32.39,32.03,26.27,16.87,59.26,21.01,64.16,74.36,44.05,47.76,58.05,96.32,37.5,65.97
2019-12-01,28.77,24.6,15.66,25.96,28.12,55.37,40,64.95,38.65,43.14,64.1,32.33,32.28,27.2,17.26,60.38,21.52,66.41,79.98,43.65,48.82,58.86,104.27,37.81,66.78
2020-01-01,27.79,24.76,16.09,24.38,26.81,53.87,38.91,65.38,37.08,46.19,64.99,32.51,31.15,25.15,16.59,58.68,19.87,56.86,77.69,45.17,48.03,60.37,100.68,38.11,65.58
2020-02-01,25.29,23.22,15.23,21.66,24.68,50.76,35.97,58.24,34.62,42.21,57.82,29.11,28.38,22.58,15.14,51.69,17.78,48.77,74.09,41.01,43.4,55.05,94.11,34.94,62.9
2020-03-01,19.86,20.61,13.1,16.79,20.12,39.55,32.12,45.33,32.16,28.13,47.98,22.86,20.81,18.09,11.97,33.93,13.33,33.03,65.59,28.64,37.66,47.4,82.81,28.19,56.61
2020-04-01,21.93,23.47,15.33,20.08,23.29,44.89,37.24,48.07,36.73,35.61,48.1,24.09,23.81,20.3,13.41,44.02,15.77,41.29,75.39,34.81,43.36,52.46,98.31,31.45,64.12
2020-05-01,23.1,25.57,16.38,21.03,24.34,49.79,40.42,49.77,38.68,42.17,49.58,25,24.07,21.39,14.29,49.4,17.13,42.7,80.78,40.7,47.32,57.89,105.94,33.74,66.75
2020-06-01,24.07,27.36,17.19,22.69,24.77,52.01,42.78,50.86,37.31,43.05,51.11,25.27,25.87,21.59,14.84,52.86,17.52,45.1,86.88,42.38,48.39,57.51,110.52,35.02,66.92
2020-07-01,24.58,31.96,19.62,23.69,25.68,55.35,46.09,53.23,39.53,50.44,53.61,26.44,27.66,21.69,15.33,57.29,18.79,46.44,93.34,48.01,50.53,62.42,120.46,38.35,72.76
2020-08-01,26.88,34.63,21.67,25.21,26.91,57.83,46.86,54.41,39.88,53.28,55.07,27.32,29.42,23.64,16.63,62.26,20.31,51.3,98.75,51.05,52.48,64.86,125.29,39.43,71.58
2020-09-01,25.55,33.14,20.88,24.47,26.16,57.8,46.56,51.74,39.05,55.31,51.68,26.02,28.66,22.5,16.43,60.31,19.13,48.52,97.91,52.15,50.22,64.32,124.35,38.88,64.94
2020-10-01,26.39,32.12,21.2,24.36,25.75,57.68,47.22,52.87,38.95,50.83,52.91,26.5,29.96,23.38,16.99,62.24,19.64,49.71,98.55,50.39,51.46,65.39,131.15,38.59,65.59
