Date,AAPL,ADBE,AMZN,AVGO,CSCO,DIS,GOOG,HD,JPM,MA,META,MSFT,NFLX,NVDA,PFE,TSLA,UNH,V
2019-07-01,51.4,298.86,93.34,29.0,47.11,140.18,60.76,189.21,99.5,264.47,193.83,129.96,322.99,4.19,29.64,16.11,231.1,171.96
2019-08-01,50.36,284.51,88.81,28.26,40.06,135.37,59.34,201.81,94.9,273.64,185.29,131.48,293.75,4.16,27.13,15.04,217.17,174.68
2019-09-01,54.24,276.25,86.8,27.61,42.28,128.53,60.88,205.45,101.66,264.11,177.71,133.03,267.62,4.33,27.68,16.06,201.69,166.41
2019-10-01,60.25,277.93,88.83,29.28,40.66,128.14,62.93,208.98,107.91,269.21,191.26,137.19,287.41,5.0,29.56,20.99,235.63,173.04
2019-11-01,64.73,309.53,90.04,31.62,39.07,149.5,65.17,196.45,114.73,284.55,201.23,144.85,314.66,5.39,29.67,22.0,260.96,178.5
2019-12-01,71.33,329.81,92.39,31.6,41.35,142.64,66.78,194.55,121.38,290.74,204.83,151.41,323.57,5.86,30.47,27.89,274.12,182.09
2020-01-01,75.19,351.14,100.44,30.52,39.64,137.23,71.63,204.51,115.25,307.64,201.5,163.44,345.09,5.89,28.97,43.37,255.02,192.82
2020-02-01,66.4,345.12,94.19,27.26,34.68,116.73,66.89,195.31,101.75,283.0,192.08,155.55,369.03,6.72,26.26,44.53,238.65,176.14
2020-03-01,61.92,318.24,97.49,23.71,34.14,95.84,58.07,167.4,78.9,235.52,166.46,151.84,375.5,6.57,25.65,34.93,233.42,156.36
2020-04-01,71.54,353.64,123.7,27.16,36.81,107.3,67.36,198.41,83.92,268.1,204.29,172.53,419.85,7.28,30.14,52.13,274.94,173.44
2020-05-01,77.42,386.6,122.12,29.13,41.93,116.38,71.36,224.27,86.16,293.83,224.63,176.42,419.73,8.85,30.01,55.67,286.58,189.48
2020-06-01,89.07,435.31,137.94,31.56,40.9,110.64,70.6,226.1,83.28,288.76,226.6,196.47,455.04,9.47,25.95,71.99,277.27,187.78
2020-07-01,103.78,444.32,158.23,31.67,41.3,116.02,74.06,241.05,85.57,301.29,253.15,197.92,488.88,10.58,30.54,95.38,285.86,185.09
2020-08-01,126.02,513.39,172.55,34.72,37.31,130.84,81.62,258.8,89.58,350.25,292.6,217.73,529.56,13.33,30.28,166.11,295.08,206.08
2020-09-01,113.31,490.43,157.44,36.43,34.81,123.11,73.4,252.15,86.07,330.67,261.36,203.55,500.03,13.49,29.41,143.0,294.35,194.68
2020-10-01,106.51,447.1,151.81,34.96,31.73,120.3,80.96,243.44,87.65,282.24,262.57,195.94,475.74,12.5,28.43,129.35,289.28,176.91
2020-11-01,116.48,478.47,158.4,40.16,38.37,146.85,87.94,253.2,106.37,329.43,276.4,207.17,490.7,13.37,32.36,189.2,318.85,204.79
2020-12-01,130.04,500.12,162.85,43.78,39.91,179.76,87.49,242.44,114.66,349.43,272.6,215.81,540.73,13.02,31.41,235.22,332.45,213.27
2021-01-01,129.33,458.77,160.31,45.05,39.76,166.85,91.68,248.54,116.11,309.64,257.8,225.07,532.39,12.96,30.63,264.51,317.38,188.43
2021-02-01,118.84,459.67,154.65,46.99,40.34,187.56,101.73,237.08,133.76,346.85,257.09,225.48,538.85,13.68,28.89,225.17,316.08,207.09
2021-03-01,119.89,475.37,154.7,46.37,46.49,183.08,103.31,280.13,138.36,349.0,293.93,229.29,521.66,13.32,31.25,222.64,354.0,206.76
2021-04-01,129.03,508.34,173.37,45.62,45.77,184.56,120.37,298.9,139.79,374.5,324.41,245.25,513.47,14.98,33.34,236.48,380.77,228.08
2021-05-01,122.31,504.58,161.15,47.23,47.9,177.25,120.44,294.5,150.15,353.86,328.06,242.82,502.81,16.21,33.41,208.41,393.3,221.97
2021-06-01,134.66,585.64,172.01,47.68,47.99,174.39,125.17,294.49,142.2,358.29,347.0,264.07,528.21,19.96,34.11,226.57,382.34,228.67
2021-07-01,143.41,621.63,166.38,48.54,50.14,174.64,135.07,304.66,138.76,378.75,355.57,277.72,517.57,19.46,37.29,229.07,395.03,240.96
2021-08-01,149.28,663.7,173.54,49.72,53.82,179.88,145.3,302.8,147.07,340.18,378.6,294.27,569.19,22.34,40.49,245.24,398.91,224.05
2021-09-01,139.33,575.72,164.25,48.49,49.63,167.85,133.11,304.73,150.51,341.61,338.69,275.34,610.34,20.68,37.8,258.49,374.45,218.14
2021-10-01,147.5,650.36,168.62,53.17,51.04,167.75,148.1,346.85,156.21,329.66,322.91,323.88,690.31,25.53,38.45,371.33,442.82,207.39
2021-11-01,162.77,669.85,175.35,55.37,50.35,143.77,142.29,373.78,146.92,309.81,323.79,322.87,641.9,32.62,47.23,381.59,427.19,189.76
2021-12-01,175.1,567.06,166.72,66.54,58.18,153.68,144.52,387.22,146.48,353.49,335.66,329.07,602.44,29.36,52.36,352.26,482.89,212.6
2022-01-01,172.35,534.3,149.57,58.59,51.11,141.85,135.54,343.82,137.46,380.11,312.62,304.27,427.14,24.45,46.72,312.24,455.93,221.88
2022-02-01,162.83,467.68,153.56,58.74,51.5,147.3,134.74,295.9,131.95,355.43,210.6,292.35,394.52,24.35,41.94,290.14,459.12,212.02
2022-03-01,172.4,455.62,163.0,62.97,51.49,136.09,139.49,280.44,126.85,352.04,221.9,302.28,374.59,27.24,46.25,359.2,492.02,217.92
2022-04-01,155.66,395.95,124.28,55.44,45.23,110.76,114.84,283.14,111.07,357.95,200.06,272.1,190.36,18.52,43.84,290.25,492.1,209.43
2022-05-01,146.96,416.48,120.21,58.01,41.89,109.58,113.91,285.36,123.96,353.01,193.24,266.56,197.44,18.65,47.39,252.75,480.71,208.48
2022-06-01,135.19,366.06,106.21,48.58,39.65,93.66,109.25,258.51,105.57,311.2,160.92,252.4,174.87,15.14,47.22,224.47,497.02,193.84
2022-07-01,160.69,410.12,134.95,53.55,42.18,105.27,116.51,285.44,108.15,348.99,158.77,275.89,224.9,18.14,45.5,297.15,526.67,208.82
2022-08-01,155.46,373.44,126.77,49.91,41.95,111.2,109.03,273.57,107.56,320.46,162.6,256.96,223.56,15.08,41.06,275.61,504.32,195.63
2022-09-01,136.84,275.2,113.0,44.4,37.53,93.59,96.04,263.44,98.83,280.91,135.4,229.37,235.44,12.13,39.72,265.25,490.45,175.21
