Date,Baron_Growth_Fund,Clifford_Capital_Partners_Investor,Clifford Capital Partners Institutional,Clifford Capital Partners Super Instl,Congress Small Cap Growth Retail,Davenport Equity Opportunities,Davenport Small Cap Focus Fund,Fidelity Select Construction & Housing,Fidelity Select Insurance Port,Hennessy Cornerstone Growth Inst,Kinetics Internet Adv A,Kinetics Internet Adv C,Pzena Mid Cap Value Instl,Pzena Mid Cap Value Investor,Rydex Dow 2x Strategy H,Rydex Dow 2x Strategy C,Rydex Dow 2x Strategy A,ProFunds UltraMid Cap Fund,ProFunds UltraMid Cap Fund,Kinetics Internet No Load
2019-07-01,63.33,12.67,12.66,13.07,19.58,14.04,9.94,48.25,45.17,15.26,32.63,27.33,8.1,8.36,90.02,78.15,90.35,41.03,33.17,35.69
2019-08-01,63.1,11.96,11.94,13.07,18.89,14.19,9.8,50,44.14,14.67,30.78,25.77,7.45,7.69,86.9,75.39,87.23,37.37,30.19,33.66
2019-09-01,62.34,12.56,12.54,13.07,18.68,14.34,9.81,51.72,45.72,14.62,30.09,25.18,7.94,8.19,90.14,78.16,90.48,39.51,31.88,32.91
2019-10-01,64.17,12.74,12.73,13.07,19.03,14.46,10.07,53.02,44.87,14.82,30.2,25.26,7.98,8.24,90.72,78.61,91.06,40.18,32.39,33.05
2019-11-01,64.73,13.03,13.03,13.07,19.68,14.71,10.69,53.43,46.59,15.57,30.34,25.36,8.48,8.75,97.95,84.82,98.32,42.44,34.2,33.2
2019-12-01,67.71,13.32,13.31,13.53,18.21,14.79,10.78,50.81,45.66,16.2,29.75,24.79,8.73,9.03,97.92,84.34,98.29,43.78,35.19,32.62
2020-01-01,69.92,12.91,12.91,12.96,20.47,15.15,11.02,54.06,47.08,15.42,31.98,26.72,8.41,8.67,98.92,85.55,99.29,42.17,33.91,35.03
2020-02-01,65.51,11.62,11.63,11.66,18.94,14.25,10.27,50.13,42.61,13.87,30.04,25.09,7.5,7.74,79.86,69.02,80.15,35.71,28.7,32.91
2020-03-01,52.57,9.23,9.23,9.27,16.15,11.54,7.88,39.41,33.39,9.85,25.16,21.01,5.1,5.26,54.38,46.96,54.57,19.6,15.73,27.57
2020-04-01,59.32,10.84,10.84,10.88,17.96,12.84,9.13,42.9,33.34,11.53,29.64,24.73,5.96,6.14,66.13,57.09,66.37,24.88,19.96,32.48
2020-05-01,65.55,11.29,11.3,11.33,19.77,13.98,10.13,50.94,37.87,12.72,31.39,26.18,6.24,6.43,71.84,61.98,72.11,28.24,22.64,34.39
2020-06-01,66.97,11.52,11.52,11.57,20.48,13.34,10.48,52.55,38.7,13.4,30.53,25.45,6.56,6.75,73.53,63.41,73.81,28.55,22.87,33.47
2020-07-01,72,11.87,11.88,11.93,22.03,15.25,11.1,57,40.39,14.35,32.82,27.35,6.74,6.94,76.93,66.29,77.21,31.08,24.88,35.98
2020-08-01,75.62,12.72,12.74,12.79,22.45,15.8,11.74,61.34,40.78,15.35,34.06,28.37,7.13,7.33,89.3,76.9,89.63,33.19,26.54,37.34
2020-09-01,74.25,12.26,12.28,12.33,21.92,15.55,11.44,60.89,39.58,15.49,31.09,25.89,6.85,7.04,84.98,73.13,85.3,30.87,24.66,34.09
2020-10-01,72.94,12.39,12.42,12.47,21.6,15.02,11.44,59.42,39.76,15.45,33.46,27.85,7.3,7.5,77.39,66.56,77.67,32.07,25.6,36.72
2020-11-01,80.24,14.4,14.42,14.48,24.8,17.39,12.79,65.53,44.96,18.19,40.4,33.62,8.83,9.07,96.82,83.22,97.18,41.6,33.19,44.33
2020-12-01,89.89,14.65,14.68,14.73,25.4,17.22,13.01,66.3,45.22,19.13,47.15,39.21,9.2,9.48,103.2,88.64,103.58,47.01,37.46,51.75
2021-01-01,87.98,15.32,15.35,15.42,27.84,17.73,13.37,68.53,45.43,19.53,49,40.73,9.44,9.69,98.85,84.87,99.22,48.13,38.33,53.78
2021-02-01,91.66,16.66,16.7,16.78,30,18.53,14.32,71.26,49.33,20.86,56.41,46.88,10.66,10.95,105.41,90.45,105.8,54.63,43.47,61.93
2021-03-01,90.67,17.65,17.69,17.77,30.63,19.17,14.57,79.67,51.76,22.5,62.84,52.21,11.34,11.64,119.71,102.65,120.15,59.45,47.28,69.01
2021-04-01,96.65,17.94,17.98,18.07,32.6,20.21,15.14,82.48,53.12,23.06,62.01,51.49,11.85,12.15,126.08,108.03,126.54,64.67,51.39,68.11
2021-05-01,95.02,18.76,18.81,18.9,32.67,20.17,15,84.87,56.97,24.05,52.75,43.78,12.33,12.64,131.28,112.42,131.76,64.66,51.34,57.96
2021-06-01,97.68,18.41,18.47,18.55,33.63,19.7,13.99,84.58,54.43,24.13,54.22,44.98,11.81,12.11,130.91,112.04,131.4,63.09,50.05,59.58
2021-07-01,100.34,17.99,18.05,18.14,34.27,20.93,14.9,86.92,54.72,22.82,55.9,46.36,11.57,11.86,133.96,114.57,134.45,63.24,50.12,61.45
2021-08-01,104.29,17.89,17.95,18.04,35.41,21.82,15.84,89.42,58.32,23.38,57.04,47.28,11.89,12.18,137.61,117.61,138.11,65.53,51.89,62.7
2021-09-01,101.16,17.45,17.51,17.6,35.08,20.92,15.59,85.83,56.84,22.34,53.26,44.13,11.49,11.77,125.85,107.51,126.31,60.21,47.65,58.57
2021-10-01,108.51,17.69,17.76,17.85,37.44,22.24,16.24,94.6,61.21,23.23,62.48,51.75,12.24,12.54,140.78,120.19,141.3,67.3,53.21,68.72
2021-11-01,95.75,16.76,16.82,16.91,36.91,21.52,15.8,97.92,57.31,23.92,59.37,49.16,11.62,11.9,130.64,111.46,131.12,63.09,49.84,65.31
2021-12-01,107.7,17.17,17.24,17.3,32.28,21.39,15.19,101.5,58.59,19.48,53.76,44.41,11.21,11.53,139.04,117.74,139.57,66.05,51.49,59.2
2022-01-01,94.14,17.8,17.89,17.98,33.52,20.72,15.08,94.27,60.96,22.33,48.03,39.73,12.47,12.76,135.49,115.45,135.99,59.34,46.81,52.85
2022-02-01,92.41,17.83,17.91,18.01,33.41,20.32,15.32,87.54,61.48,22.41,49.6,41.02,12.58,12.87,126.15,107.43,126.61,60.35,47.57,54.6
2022-03-01,93.28,17.97,18.05,18.16,33.73,20.47,15.55,84.59,65.06,23.64,51.67,42.71,12.63,12.91,131.8,112.16,132.29,61.52,48.45,56.89
2022-04-01,84.26,17.43,17.51,17.61,30.85,18.69,14.38,81.2,60.42,23,47.3,39.09,12.08,12.36,118.69,100.94,119.13,52.76,41.52,52.09
2022-05-01,81.81,17.35,17.44,17.54,30.52,18.52,14.51,80.83,61.77,24.46,44.71,36.92,12.66,12.95,118.58,100.79,119.02,52.96,41.64,49.24
2022-06-01,75.8,16.17,16.26,16.34,28.31,15.59,12.42,72.46,57.79,21.33,38.67,31.92,10.98,11.22,102.72,87.26,103.1,42.73,33.57,42.59
2022-07-01,84.42,16.91,16.99,17.08,30.92,18.4,14.23,81.57,59.03,23.47,42.86,35.37,11.6,11.85,116.54,98.94,116.97,52.18,40.95,47.23
2022-08-01,79.89,16.44,16.53,16.62,29.55,17.83,14.01,78.43,58.99,23.2,40.83,33.68,11.32,11.56,107.33,91.05,107.72,48.6,38.12,45.01
2022-09-01,74.53,15.1,15.19,15.27,27.35,16.4,12.85,73.46,55.78,20.7,39.06,32.2,10.08,10.29,88.61,75.13,88.95,39.67,31.1,43.06
2022-10-01,83.26,17.09,17.19,17.29,29.87,17.6,14.6,78.06,63.52,24.08,42.9,35.36,11.55,11.78,114.25,96.82,114.69,47.89,37.5,47.3
2022-11-01,88.9,17.89,18,18.1,30.35,18.6,14.94,84.6,67.22,25.18,43.06,35.47,12.35,12.59,127.32,107.83,127.81,53.28,41.69,47.49
2022-12-01,78.81,16.84,16.94,16.96,28.18,17.3,13.97,80.7,65.17,22.89,40.6,33.36,10.08,10.35,113.68,95.84,114.12,47.13,36.84,44.82
2023-01-01,91.05,17.92,18.04,18.15,30.53,19.35,15.33,89,68.31,25.27,41.54,34.19,13.22,13.47,122.21,103.38,122.68,55.77,43.56,45.83
2023-02-01,90.32,17.23,17.35,17.45,30.84,18.85,15.3,86.92,66.86,24.59,39.75,32.7,12.86,13.11,112,94.68,112.43,53.38,41.66,43.86
2023-03-01,89.94,16.19,16.32,16.43,31.39,18.59,14.92,85.45,63.32,23.4,42.09,34.61,12,12.23,115.67,97.76,116.12,49.42,38.54,46.46
2023-04-01,90.24,16.09,16.23,16.33,30.9,18.85,15.27,87.7,63.44,22.25,41.15,33.82,12.03,12.26,120.93,102.14,121.4,48.33,37.66,45.42
2023-05-01,87.96,15.28,15.42,15.51,30.83,18.73,14.57,85.19,62.92,21.97,38.48,31.62,11.25,11.46,112.54,95.01,112.99,44.9,34.95,42.49
